,ID,Comments / Message
0,0014c1b4278df4bf8ea8a20b7abdb13c,hi.hi.how r ya?.where u been.im cool.was out with a buddy.k.u miss me huh?.yeah.so is that a new pic?.been waiting 4 u.lol just having fun.cool.wish u had a hot pic 2 c.;).umm lol sorry.its ok.that was a nice pic.ty!!.so how u getting to b up late?.:-*.my dads out and stepbitch is asleep.oh my u rock sweety.lol.i do huh.so we still on 4 tomorow??.yeah baby u gonna rock my world?.i hope u goona rock mine.hehe.u coming at 7 rite?.is that gonna b a good time?.ya if its ok with u.yep as long as u feel good with it.ya ur cool.we goon a have fun.yeah so how should we start any ideas?.u gonna bring me some presents rite lol.yes.like wut.hmm.oils.battery powered toy?.u like oils?.i think u said that.mmm prolly.o u dont hafta lol.what else u might like?.oh i dont mind.idk.so r u shy?.umm.i mite b at first.y.was just going to see if u want me 2 put a move on u or u put one on me?.lol u start.that ok?.if u r cool yeah.ya sure.hey u need the addy lol.and what kinda move u b ok with?.yes.um slow and sweet.:D.u reddy to write this down?.XXXX.Walters.gettin pen.hey mapquest my drive 4 me?.ok.chickasha 73018 to u.thats ur town?.yeah.k.hold on.k.east on xxxx.merge onto xxx.take xxx to xx.right at xxx.stay on xxx.continue on xxxx.my house is on the right.red brick.1 story ranch.theres a fieled across the street with nuttin there.how many miles it say?.70.8.and drive time?.1 hour 9 mins.cool u r between altys and lawton right?.kinda.ok.so u gonna give me phone #?.u cant call til after 5.ok?.its the house fone.i wont.shes sposta gimme her cell but i dont remeber the # lol.the # is xxxxxx.k u might have to talk me to yr house just incase.but want u 2 call me as soon as its clear.k whats ur #.xxxx.that ur cell?.dont lose it babe.yes.lol like i wud.i know.hey what kinda car u got?.not sure what i will driveyet so idk.dang lol.y?.how many cars u got?.not more than 1.lol.so what u mostly excited about?.having sum fun.here in freeking borin.okla freekin homa.hehe.so what u gonna where?.what u want me to wear.ill prolly have on jeans at first.yeah then?.and a top.then u get to choose i guess lol.yeah u got some to choose from?.ya.shit hes home.tty tomorow ok???.ok bye.  
1,0027f42308aad202fcb7224597a7ac1a,hey baby.hey.i took a shower.kool.just seeing if you had left yet.it wont take me two hours baby.oh lol i didnt know how long it would take.ok.how long will it take?.what was the  name??.<text/>okay.hold on.i get off on ?.you take.and take.ok.and go to.is that a road?.ya.ok.then what?.go to.and its on.theres.just follow ?.ya.ok.take  tho.ok.how do you know this so well?.cause i live here lol.plus my mom works in.ok.you still want this?.ya lol do you?.yes.just a little scared.me too.how long will it take you to get here?.little over an hour i guess.why?.ok just wondering :).have you masturbated thinking of us?.i feel like im all excited and all scared at the same time lol.me too.have you?.hello?.not really lol.you there?.i'm here.:).are you there?.ya.where is your mom?.watching tv.where is your dad?.he died.sorry.im ok with it sorta now.i get sad sometimes.it is hard.ya.but not like i did at first.ok.i am glad it is getting easier.ya.i am still scared.so am i.yeah but i could go to jail.:(.but i do want you.:).but i dont want to get in trouble.i wish i could be sure.i dont either.how would you get in trouble?.if my mom found out.lol im sure i would hear about it alot.how would that happen?.i dunno.im not gonna tell her lol.ok.you sure you want to do this?.ya do you wanna?.yes.k.are you gonna back out when i get there?.lol no.okay.where will you be.by the parking lot.okay.who else you talking to on here?.my friend sammi.guy/girl?.girl.shes got my goat back in nv.what are you telling her?.minni :).nothing just finding out about minni.ok.oops minni ate one of her shirts :(.you still here?.i am now.oh are you still coming?.yeah.ok.:).u r going 2 b there right?.ya.it only takes me like 5 minutes to get there tho.i am leaving now.  
2,0063692c957229db0816e0f240d7fa0d,"hello.hey.a little late but I am here.yea.so what are you up to?.just surfing the net?.i wuz watching american idol.any one on it good/.?.yea.ll kewl j.so tell me what do you like doing for fun?.party.I figured that much.lol yea.you ever hooked up with anybody from the net before?.no.many people?Your going to be the 2nd one I have met.who elsedid u meet.some bi sexual chick from Santa Cruz about 3 years ogo.lol.wuz she hot.when we first got together we just jumped straight into bed and were only fuck buddies for about 1 and a half years.she was all right-had real long hair that went past her ass when we first met.wut happend.being just fuck buddies and her living out in Santa Cruz wasnt a reralationship that was ment to last long.Out of the bed we were tottally different people.both who just wanted a sex partner.did u hafta do all the drivin.yes,I did.But I didnt mind it since I like to drive.how old wuz she.about 2 years younger than me.o.but when we met she told me that she wanted to have her first bi sexual reralationship soon and that things with us werent going to last forever which I all ready knew.who u got a baby with.that would be an ex Brenda from Morgan Hill who I was with before I met the girl in Santa Cruz.how olds your kid.10 and will be 11 in April.Brendas cool about things with him.She lets him come over anytime.thats kewl.my momz n dad fite all the time.that sucks.You have any brothers or sisters?.i gotta older sis.at least you have her to talk to when things around there with your mom and dad are.not going good.o my dad dont live wit us.but when he calls or comes over they fight?.yea they used 2 alwayz fite about who got us.they arent physically abusive are they toward you?.my mom is a bitch.probably she just has a lot on her mind being a single parent.wut ever i jes leve.id rather party.thats allways fun.were do you usually hang out-friends or in town?.wuteverz clevaz.huh/.?.lol.wut everz cleva z.lol were ever tha party is.tats wat I thunk u sed.<text/>lol.now this plan of ours.yea.friday nite rite.right,friday night but you allowing me to eat your pussy and all right when we first get together.hell yea.are you a virgin?.nah.been with an older man around my age before?.yea.have you ever had someone eat you before?.yea.and when we are together your absolutely sure that your not going to trip out when I just get down on my knees and stick my head between your legs-even if it happens unexpectedly?.thats hot.you like that idea do you?.hell yea.what else do you think is hot that you may like to have happen?.im down 4 wutever.you been tied up and fucked before?.no.what do you think of the idea?.sounds kinda hot.what about 69?.i aint tried that.yet.<text/>you suck dick before?.yea.tasted cum?.yea.ever had your tits fucked and cum shot all over you?.nah.really?it looks like you have a nice set of tits.ever tried annal sex?.not yet.not yet-so that tells me your pretty open minded about things when it comes to sex.yea.I might just get a hotel room for friday night.u gonna bring sum condoms rite.yes,I will.kewl.but want to fuck you without one on and just pull it out and come on your belly.u cant get me pregnent.not that way.they do it all the time like thatin xx rated flicks.come on you not in you.ive seen sum of those.you like em/.?.yea.u ever make 1.thats how they keep from getting pregnant.nope but I wiould like to make one with you.omg relly.sure-you want to ?I can bring a camera.u sed u were gonna take pics of me.we can just set it up on a dresser pointing at the bed.yeah,if its cool with you.hell yea.will you finger your self so I can watch?.u want me 2.yes,while sitting in a chair with a leg over each arm rest so I can see everything.i aint done that i coud i gues.u gonna take pics of that 2.right on.you like being called names while fucking?.like wut.I dont know some chicks like being called a slut or whore bitch all kinds of things.u like that.its not anythings special.I would rather b talking about how I much I am enjoying being up your tight cunt.i like 2 b called baby gurl.I will remember that then.wut do u like 2 b called.dont think I have ever been called anything but a fucker and thats while I was diong it.as in ""oh,you fucker harder"".""Oh,you fucker stick it in deeper"".u big?.yes but mainly fat.u gonna hurt me.you dont get sore after a short period of sex do you?.nah u gonna have pot rite.most likely.you asked if I am going to hurt you.pot relaxs me tho.no,I am not just going to bend you over and ram it in.I will be fingering you while I am licking and nibbling on your clit.wut kinda booze u bringin.what do you like/.?.all kinds.wutever gets me drunk qwick.what do you want name it and you will have it.malibu rum.and coke?.hell yea.vanilla coke tho.no problem.you smoke cigs?.im not sposta.but yea.theres a lot of things your not supposed to do but we will do em anyways.lol.can you hang on a sec someones here and I need to get rid of em.yea.brb.k.back.hey.they only wnated to borrow a cd.lol.wut do u want me 2 bring friday.what can you bring?.i dunno.i got sum candles.that would be a nice touch.Have any baby oil? but mainly just bring yourself and wear that mini skirt with no panties.i can look.but you have the skirt right?.yea.u want me 2 were anything else.a top might be cool since you might get in trouble going out with just a skirt on.lol.i ment like 2 bring.just bring yourself baby girl.thats all that matters.i can do that.then everything will be just fine.something I want to ask.k.has anyone ever just walked up and started having sex with you right away?.kinda like what I want to do.no.I guess that the idea turns you on then.thts kinda hot yea.I am probably going to get things going with you on our way to the hotel room.I will most likely reach over and start fingering you.in your truck.y dont u wanna use tha rv now.yes,while we are traveling to the hotel.well the rv is most likely going to be a back up place to go.I will probably get a room at motel6.u gonna reserve it 1st.dont need to.or do i gotta wate in tha trck.they are never that crowded.I am going to ask for 1 with 2 beds.so as far as they know your my kid and we are spending the night and sleeping seperately.u gonna make me call u daddy?.you want to ?.i dunno may b.well see.how are you wearing your hair is in a pony tail or still like in the pic?.wut u want me 2 do wit it.pony tail it.k i can do that.I can get an easier grip on it like that.yea.u like that.yes,I do drive myself in deep and hard.have a favorite position?.i todl u.dogy.so you probably like it flat on your stomache too.i dunno.ever done it while spooning?.no.thats my favorite.we coud try that.just thought of something for you to bring.wut.if you feel that you want to be tied up wear some pant hose/nylons.i dont got none.i can c if my momz duz tho.if not thats fine too.you dont have any plans for saturday do you?.nah.good because when I am through with you friday night.saturday morning your going to be walking funny.lol.lol.just so you know.I have asked you alot of questions here any thing you want to ask me?.anything at all?.um.y cant we go 2 yur place agin.roommates who will be here.aw man.cant u git rid of them.they would trip hard once they realize we arent just playing cards in my room.I wish.how many u got.but they pay rent to and have every right to be here.2.but itd b kewl 2 go there.um u only got tha 1 kid.yes.sending you a file picture Image Hosted by ImageShack.us.k.let me know when you look at it.wow yur big.told you I have a fat head.u do!.stretch you out a little is all.u like that huh.the fact that you have a hot body and are real sexy I like the most.and that turns me on-major.u like gurlz my age.catch myself looking at them all the time and I have to remind myself that they are young.I like the petite sexy figures.u ever mess wit yur sons frends.God no.never wpould.I am still having a hard time getting used to the fact I am going to be with you.i messd wit my frenz dad once is y i asked.you get far with him?.yea.and what is it about older guys that you like?.i dunno.maturaty-sexual experience?.brb k.or the fact that they fuck you hard like you want it.k.k.boyz my age r like scared 2 talk 2 me.understandable since your sexy they are intimadated and afraid they arent good enough.they arent lol.alot of guys think that a sexy girl like you is maybe stuck up and wouldnt even like being around most boys.feel like they arent good enough.that you would want some dude who could model for some mag.lol.that all make sense?.yea.good.you ever been in trouble with the law before?.like gettin cot cuttin.is that all cause you said that the cops threatened you with juvy.i got cot smokin b4 2.thats nothing.wut about u.now I dont wnat to go to jail for sex with a minor so give me a YES or No answer ok? are you working for or affiliated with any sort of law enfocement?.lol no.just checking.now you asked about me and my record with the law and I have to be honest here.or can I lie?.never mind.I will tell the trueth.hey.i tel u tha truth.yes,I have been in trouble with the law before.Now remember I am now 34 the only time my WHOLE life I got in trouble with the law was about 3 years ago.busted for growing pot.o that aint nuthin.no,it not.But I wasnt going to lie.awww.Liers and thieves the 2 kinds of people I hate.yea me 2.so you will find that I am an honest person.yea me 2.good.i dont got no reason 2 lie.I dont either no reason to lie about anything really1 more thing I got in trouble with too.when they found my pot plants they found a small pipe bomb that I was going to put in someones mailbox.omg wut did they do.they just put me on probation for 3 years no jail time since I had no prior record of breaking the law.well thats good.yeah,it sure was.specially since with new laws in California make it manditory for someone growing even 1 plant to do 1 year in jail.if u were in jail we coudnt meet.no,we couldnt.and that would suck.yud b with bubba.how many plants u got.well,I must admit that I didnt do time right away for my crime but I did do some later.how.you see once on probation someone came to my house every now and then to check things out and to make sure I wasnt growing pot again.and when my probation officer got here and started searching clothes in my closet she found an old pot pipe.and violated my probation wich got me thrown in jail for 6 months.u still on proabtion.yes.will be for another year.that sux.u can still git me pot tho rite.of course I will.neighbor has friend with huge barn full of GREEN BUDD.He sells it all to pot clubs in San Fransico stuff like Orange Crush,Blueberry.u dont gotta take piss tests do u.yes,but now I have a cool probation officer he only tests for powders,acid,pcp,heroine.wow.thats kewl.which I cant figure out since I didnt get in trouble with any of those kind of things.u just do pot.damn-I have to be honest here.No,every now and then a little speed.i wanna try that agin.i did it like a year ago.doing speed?.yea.we can do all kinds of it if it makes you wet.do u only wanna c me friday or agin sum times.fuck only friday would like to make it something we do on a regular basis.I am a horn dog-all ways horny.u gonna gimme pot and shit.no promises what I will get you right now.But I will bring something.thatd b kewl.if you have a choice between alcohol and pot what would you choose?.dam i dunno.both lol.I know tough question.well hafta c k.ok.were do you go to school at?.gilroy.I know silly.but what school?.gilroy high?.duh?.at 13?.im 14.y u keep sayin 13.thought you would be in junior high.sorry.14.I guess that right high school at 14.nevermind.what do you do take the bus home?.hell nah.i hate tha bus.ride with a friend?.yea or my sis n her bf.were is it you are going to want me to pick you up at on friday?.at tha park.calle del ray.u no were itz at.nope.were?.i 4git tha street name.i coud look tommoro.i can walk there tho.is it near LongMeadow?.like maybe Mantelli?.um.....dude.<text/>im thinkin.find out tomorow like you said and let me know.lol sorry.thats ok.i jes no how 2 git htere.not to change the subject too much but when you tried speed did you snort it or smoke it?.smoked it in a blunt it wuz fucked up man.if its on Calle del ray I will find it.didnt know about it or what?.no i wuz tricked.thats not cool.most chicks I know get wet and horny from it.may b thatz y they did it.could have been.trying to get in your pants.yea.cant wait to see you.me neither.luckily friday isnt too far.noperz.but hey baby girl its getting late and I have some things I need to do around here.yea i shoud go b4 momz gits back 2.ok-chat with you again soon I hope.I am usually on at 9pm.k.talk to you soon.goodnight.nite.bye.  "
3,00a88e94773667ea0146e223d8d22f44,"u still here ?.im sorry but i dont think I can do it...the age difference is too much, i hope we can be friends but its just too much for me...I hope you can understand.i will still be here tomorrow if u want to talk.  "
4,00b06ff8fb883556067a7f53c06455fe,so--you on??.I know you're around cause I just looked and you read my message I just sent an hour ago! so where is you????? :-/:x=((.  
5,012cd762a7e0a20819d99bafc66b12a2,"hey.Hey, how are you Sweety?.i feel awfu.awful.Ohhh no.i threw up twice today.srry.i know its icky.wanna call me?.Ohh no.i do but i just wanna lay here in my bed.Awww call me.i am gonna.oh greg i feel awful.Still got the number?.Darn Sweety.yah i got it wrote down.Wish I could come help.i just wanna lay ehre a lil bit.i wish u could to.Any gingerala?.my mom is up rite now so i will hafta wait.Ok.she got me 7up.Good.she has actualy been nice to me.Great.i been in bed all day l ol.Too bad you're ill.it sux.i hate throwin up.Nooo.It's bad.ewww.my doggie has been watchin over me lol.LOL.hasnt hardly left me alone.They know when you're feeling bad.she is the best.Good dog.:).wat u been doin?.A little work.Waiting for you to come on.awww i was gonna come on earlier but i jsut felt so crappy i fell back to sleep.That's ok.I know you feel bad.u gonna be on and off all day?.Yep.k im gonna go down n c if i can eat sumthing or get sumthing to drink im tired of layin.You gonna try to sleep a little?.Ok.i am gonna n then maybe later i can call?.Sure, I'd like that.me to :) i will ttyl.Ok.Bye for now.bye.:-*.  "
6,01956b8f45560d2d44d594f36a66f526,"Hey sexy..How are you?.hi.:*.What have you been up to?.was sick.Awe no..I am sorry :(.Do you want me to come make you feel better?.my aunti thinks is just cuz i miss my folks.lol.it wuld be nice but not rigte now aunti is home.Awe well that could be..Yeah I would like to come see you ;).u can come when she leaves next week.if u reely want to.Well of course I want to..What would you want to do?.whatever u wanted to.dont mattr to me.=P~.I can think of a lot of things ;).oh??.care to enlightin me.Maybe :""&gt;.so tell me.Well I would like to lick your nipples and your pussy..ok.=P~.i hope i dont giggle.i giggle when i get nervus.You will probably moan instead :*.oh ok.But if you giggle I will make you feel comfortable..okies.:D.:-*.When will you be home alone?.hmmm end of next week.not sure exatly what dates yet.ill knw that prob next week.That is fine..Just let me know :).np.  "
7,01a40c8bec24ddf928240769d0665a92,"wassup.hi.how are u ?.mad.why ?.brb.ok.some ppl r not friendz.teh act like they r but they r not.what people ?.juz some ppl.online ?.no.ya there online 2.but 4 realz.oh ok.peole sucks.dont expect much from them.yeah they suck.y r ppl so mean?.cause we are humans.i think gf shuld b 4 3ach other.not bitches.always take the good things from people and dont pay attention to the bad things.we have no friends.tat suxs.SUXS.X-(.are they important for u ?.fuck her!.yeah lets fuck her.if theyr not important for u dont pay attention to them.id rather fuck a skunk then her.hahaha.just forget about her.ok.so how was ur day what did u do ?.watched my little cousin.how old is ?.2.thats crazy.y?.hez cute!.yeah kids are cute but annoying.:D.no! hez cute n fun.i wanna baby.u wanna have a baby ?.yeah.i could make u one if u want.u wuld?.i could.i dont think ur ready to have a baby.y?.cause ur too young , have to go to school have a career and get more mature.yeah ur right :(.i'm always right.:-P.i still wanna baby.ok i'll make u one.but u have to take care of it.i will take care of it!.who would pay for the milk and diepers ?.i said ur right.u could ask ur parents for money.omg.i'm just kidding.hey i can make u one after u turn 18.id like that.:).would u wait ?.ya im gonna wait newayz.ok.hey but we could practice how to make it.i juz like kidz.lol.ok.do u have sex a lot?.only when i have a gf.but i've been single for a while.i c.why? would u like better a guy that have lots of sex or one that have little.i dunno.i havent had sex.just oral.yeah i know.:|.what happen why that face.u aks me thingz i dunno how 2 answer.its cool.ok.u think im dum dont u?.no.why should i think that.u act like u think i am.no i dont.lexturing me bout having a baby n shit.even if u were 18 u would be too young to have a kid.and not only u.any girl of that age.i know!.gah.ok so dont tell me that i think ur dumb.ur cool i like u.and ur a cutie too.i like u 2.i can talk 2 u.no what i mean?.yeah.;).:).&gt;:D&lt;.ur a good griend.friend.thanks.hey i have to go pic up my bro at work.i'll be back later.see u.bye'.by.&gt;:D&lt;.:-*.:-*.  "
8,0265797a9625f0c3d78382bc86e13186,hi.hey wassup.nuthin.u?.nothing.:(.still sad ?/?.nah juz bored.how u doin?.busy i gess.i'm good.how are u.mot too busy.just doing some payments online.i c.so how is been ur day ?.booooorrrrrriiinnng.why ?.nuthin 2 do.cant u go out ?.no.i don drive.u can walk right ?.yeah lol.ok.brb.back sorry.hey so u cant go out while ur grandma is not there ?.no.so when ur gonna invite me to come over ?.i thot u waz kidding bout that.why ?.i dunno.u wanna come over tomorow?.what time ?.not 2 early.what time ur grandma leaves ?.like 11 or 12 i think.what time she comes back ?.sun.sunday ?.yeah.so ur gonna be the whole night alone ?.yeah.so u seriuos bout comin over?.yes.want me too ?.kewl.oh yeah.ur a qt.so what are we gonna do if i go there ?.ur the guy u pick.are u gonna be able to please me ?.ill try.u mite not like me.shit ur a cutie.aww ty.where u at?.like an hour from u.give me ur adress let me see where u live.i c.can u come like 1:30?.i no my gramma will b gone then.yup.k.<text/>u there?.yup.so ur coming tomorow at 1:30?.no.y?.cause i dont trust u.ur not telling me the truth.wtf?.whats ur real name ?.alexandra fairchild.y?.i dont believe u.y?.i think ur a cop.i don get it.oh whatever!.do u have more screennames ?.y u ask me that?.brb.back.kk.hey so tell me the truth now.who are u ?.im lexa.janna iz a stuck up bytch btw.whos janna ?.bye bye.first tell me whos janna.juz a stuck up ho.why are u telling me about her ?.are u there ?.no.  
9,027d9feb84a3976192f0242f759ae367,"hi colie :).hey :).how are u.bored lol.aww,not a good beach day huh.no too cold.yah i know.oh well maybe tomorrow,so whatcha been doin.nuttin just got up.lol.ooh,must be nice lol.lol mom wakes me up erly n i got to sleep :D.thats good,no lessons,u got a break.yep.cool,im on break for a while,going back to finish up some work in like an hour.oh cool.yeah was able to stop home and have lunch,hang out for a while.cool what u eatin?.made some left over macaronis.microwave,didnt feel like cookin for lunch.lol.idk wat im gonna eat yet.almost lunch time,too late for breakfast.lol ya.maybe ice creem lol.lol.mite make some pizza.that sounds good.see,too bad i gotta work,i could go for some pizza too.ya.we could order pizza.that would be cool.yah really,sounds better then my lunch.:).plus id get to have it with you which would be even better.:D.that would be soo cool.ya lol.i could keep you from bein bored too lol.lol really? how?.idk,we'd find something to do.hehe.we could watch movie and work on our cuddling and kissing :-P.lol that woud be fun.yah it would :).;;).that would be hot.what?.cuddling and kissin with you.lol.well,somethin too look forward to,only a few more days.ya what else we gonna do u think?.i got games n stuff.eyah thats coo,we can play monopoly,whatever you got.lol got monomply scrabble twister scene it battlship n some more.wow,you got lots,sounds like fun.ya.nice,sounds cool to me.whatcha doing?.just listenin to music and talkin to you.k.was just checkin to see if any emails from work,but nothing right now.:).so still got lotsa time for ya.what you doing now.yay.chattin n bout to get on myspace.oh ok.working on your myspace page.ya not yet.ok,mines boring,i dont have a lot of stuff on it.:) its got ur cute pics lol.:) thanks,but yours are cuter.lol.brb im gonna go put pizza n overn.ok.brb too.ok lol im back.ok back too.hows the pizza.not done yet.its cookin.oh ok yeah i thought that was kinda quick.lol.what kinda pizza.pepproni.mmmm,good stuff.i like that.yep.;whats ur fave kind pizza?.i like plain,pepperoni,chicken sometimes.never try chiken pizza.its goo,pizza hut makes good chicken pizza.good.i luv pizza hut lol.brb gotta go get it downstais.ok.k back.yay! checkin on the pizza ?.nope its done.lots of cheese.mmmm,i want some lol.lol.im jealous.of wat lol.of your pizza lol.lol :).ill have to get some later now.yep.maybe pizza hut.its my favrite too.mmmmm.maybe get some saturday.k lol.i like supreme wit pinapple lol.ok cool,i never had pineapple piza.its good on piza :D.awesome,its on then for the supreme pineapple.lol ur so cool.:) thanks.so are you,ur really cool and really nice.awe.plus really cute !!!.lol.really really cute even.how cute lol.hey,have to go for a while,got some work to do.awe ok :(.ill be back later,try and have fun there.okies.ttyl greg ;;).&gt;:D&lt; bye hun.&gt;:D&lt;.  "
